PARA_ID,POLICY_ID,TEP_POLICY_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  <endrec>
"ActionType","14001","937273820"<endrec>
"ActionType","14001","937273821"<endrec>
"ActionType","14001","937273824"<endrec>
"ActionType","14001","937273825"<endrec>
"ActionType","15001","937275819"<endrec>
"ActionType","15001","937276818"<endrec>
"ActionType","15001","937279986"<endrec>
"ActionType","15001","937279987"<endrec>
"ActionType","15001","937327951"<endrec>
"ActionType","15002","937329949"<endrec>
"ActionType","15001","937365123"<endrec>
"ActionType","15006","937365124"<endrec>
"ActionType","15007","937365179"<endrec>
"ActionType","15001","937365189"<endrec>
"ActionType","15008","937366304"<endrec>
"ActionType","15001","937366307"<endrec>
"ActionType","15001","937371493"<endrec>
"ActionType","15009","937404991"<endrec>
"ActionType","15013","937428168"<endrec>
"ActionType","15001","937428177"<endrec>
"ActionType","15014","937432177"<endrec>
"AvaBalanceCredit","15062","937612766"<endrec>
"AvaBalanceCredit","15062","937612767"<endrec>
"AvaBalanceCredit","15063","937612810"<endrec>
"AvaBalanceCredit","15075","937641851"<endrec>
"AvaBalanceCredit","15003","937641888"<endrec>
"AvaBalanceCredit","15003","937641889"<endrec>
"AvaBalanceCredit","15003","937641893"<endrec>
"AvaBalanceCredit","15003","937641896"<endrec>
"AvaBalanceCredit","15003","937641897"<endrec>
"AvaBalanceCredit","15003","937641899"<endrec>
"AvaBalanceCredit","15003","937641900"<endrec>
"AvaBalanceCredit","15003","937707804"<endrec>
"AvaBalanceCredit","15003","937707805"<endrec>
"AvaBalanceDebit","15062","937612766"<endrec>
"AvaBalanceDebit","15062","937612767"<endrec>
"AvaBalanceDebit","15063","937612810"<endrec>
"AvaBalanceDebit","15075","937641851"<endrec>
"AvaBalanceDebit","15003","937641888"<endrec>
"AvaBalanceDebit","15003","937641889"<endrec>
"AvaBalanceDebit","15003","937641893"<endrec>
"AvaBalanceDebit","15003","937641896"<endrec>
"AvaBalanceDebit","15003","937641897"<endrec>
"AvaBalanceDebit","15003","937641899"<endrec>
"AvaBalanceDebit","15003","937641900"<endrec>
"AvaBalanceDebit","15003","937707804"<endrec>
"AvaBalanceDebit","15003","937707805"<endrec>
"BasicPrincipleAmount","15026","937551789"<endrec>
"BasicPrincipleAmount","15062","937612766"<endrec>
"BasicPrincipleAmount","15062","937612767"<endrec>
"BasicPrincipleAmount","15063","937612810"<endrec>
"BasicPrincipleAmount","15073","937641840"<endrec>
"BasicPrincipleAmount","15074","937641842"<endrec>
"BasicPrincipleAmount","15075","937641851"<endrec>
"BasicPrincipleAmount","15003","937641888"<endrec>
"BasicPrincipleAmount","15003","937641889"<endrec>
"BasicPrincipleAmount","15003","937641893"<endrec>
"BasicPrincipleAmount","15003","937641896"<endrec>
"BasicPrincipleAmount","15003","937641897"<endrec>
"BasicPrincipleAmount","15003","937641899"<endrec>
"BasicPrincipleAmount","15003","937641900"<endrec>
"BasicPrincipleAmount","2001","937707776"<endrec>
"BasicPrincipleAmount","2001","937707778"<endrec>
"BasicPrincipleAmount","2001","937707785"<endrec>
"BasicPrincipleAmount","15003","937707804"<endrec>
"BasicPrincipleAmount","15003","937707805"<endrec>
"CallReferenceNumber","3001","937178550"<endrec>
"CallReferenceNumber","3001","937178552"<endrec>
"CallReferenceNumber","3002","937178553"<endrec>
"CallReferenceNumber","3003","937178577"<endrec>
"CallReferenceNumber","3001","937178579"<endrec>
"CallReferenceNumber","3003","937178582"<endrec>
"CallReferenceNumber","3003","937178583"<endrec>
"CallReferenceNumber","3003","937178584"<endrec>
"CallReferenceNumber","2001","937178637"<endrec>
"CallReferenceNumber","3003","937182475"<endrec>
"CallReferenceNumber","2001","937182483"<endrec>
"CallReferenceNumber","4002","937182492"<endrec>
"CallReferenceNumber","4002","937182496"<endrec>
"CallReferenceNumber","4002","937182502"<endrec>
"CallReferenceNumber","4005","937182506"<endrec>
"CallReferenceNumber","4006","937182517"<endrec>
"CallReferenceNumber","4006","937182520"<endrec>
"CallReferenceNumber","2001","937182531"<endrec>
"CallReferenceNumber","5001","937187535"<endrec>
"CallReferenceNumber","5001","937208572"<endrec>
"CallReferenceNumber","3002","937210721"<endrec>
"CallReferenceNumber","3003","937210722"<endrec>
"CallReferenceNumber","5001","937210723"<endrec>
"CallReferenceNumber","6001","937210731"<endrec>
"CallReferenceNumber","4002","937210732"<endrec>
"CallReferenceNumber","5001","937210736"<endrec>
"CallReferenceNumber","8001","937220661"<endrec>
"CallReferenceNumber","3003","937243688"<endrec>
"CallReferenceNumber","11001","937253778"<endrec>
"CallReferenceNumber","12001","937254859"<endrec>
"CallReferenceNumber","12002","937254905"<endrec>
"CallReferenceNumber","12002","937254913"<endrec>
"CallReferenceNumber","12002","937254920"<endrec>
"CallReferenceNumber","12002","937258721"<endrec>
"CallReferenceNumber","13001","937265720"<endrec>
"CallReferenceNumber","13001","937265729"<endrec>
"CallReferenceNumber","13001","937265731"<endrec>
"CallReferenceNumber","13001","937265749"<endrec>
"CallReferenceNumber","11001","937265772"<endrec>
"CallReferenceNumber","12002","937265773"<endrec>
"CallReferenceNumber","11001","937265780"<endrec>
"CallReferenceNumber","3003","937273818"<endrec>
"CallReferenceNumber","3001","937273819"<endrec>
"CallReferenceNumber","3003","937273828"<endrec>
"CallReferenceNumber","15003","937335884"<endrec>
"CallReferenceNumber","3001","937402944"<endrec>
"CallReferenceNumber","3001","937407023"<endrec>
"CallReferenceNumber","15003","937415079"<endrec>
"CallReferenceNumber","15003","937415087"<endrec>
"CallReferenceNumber","15003","937415096"<endrec>
"CallReferenceNumber","6001","937415113"<endrec>
"CallReferenceNumber","6001","937415114"<endrec>
"CallReferenceNumber","15010","937415129"<endrec>
"CallReferenceNumber","3001","937415132"<endrec>
"CallReferenceNumber","3001","937415139"<endrec>
"CallReferenceNumber","15012","937417078"<endrec>
"CallReferenceNumber","15012","937417079"<endrec>
"CallReferenceNumber","15012","937417080"<endrec>
"CallReferenceNumber","15012","937417081"<endrec>
"CallReferenceNumber","3003","937418164"<endrec>
"CallReferenceNumber","15015","937432182"<endrec>
"CallReferenceNumber","15016","937433180"<endrec>
"CallReferenceNumber","15017","937433181"<endrec>
"CallReferenceNumber","15016","937433216"<endrec>
"CallReferenceNumber","4002","937433222"<endrec>
"CallReferenceNumber","4002","937433225"<endrec>
"CallReferenceNumber","15018","937433226"<endrec>
"CallReferenceNumber","15019","937445229"<endrec>
"CallReferenceNumber","15020","937445230"<endrec>
"CallReferenceNumber","15019","937445231"<endrec>
"CallReferenceNumber","15021","937445232"<endrec>
"CallReferenceNumber","15022","937445233"<endrec>
"CallReferenceNumber","15023","937445266"<endrec>
